"X.reg_id","X.operator","X.airplane_damage","X.location","X.phase","X.nature","X.departure_airport","X.destination_airport","X.time_period","X.year","X.month","X.day","X.old","X.nb_engines","X.crew.fatalities","X.crew.occupants","X.passengers.fatalities","X.passengers.occupants","X.crew.ratio","X.passengers.ratio","X.brand"
"LN-BBA","Braathens SAFE","Substantial","Norway","Landing","Domestic Scheduled Passenger","Norway","Norway","evening",1995,"January","Thursday",7,2,0,3,0,35,0,0,"Fokker"
"HK-3839X","Intercontinental de AviaciÃ³n","Destroyed","Colombia","Approach","Domestic Scheduled Passenger","Colombia","Colombia","evening",1995,"January","Tuesday",29,2,5,5,46,47,1,0.978723404255319,"Douglas"
"N746FE","Empire Airlines","Destroyed","United States of America","Initial climb","Cargo","United States of America","United States of America","evening",1995,"January","Wednesday",5,1,1,1,0,0,1,0,"Cessna"
"C-GPUNÂ ","Canada JetÂ Charters","Damaged beyond repair","Canada","Approach","Ambulance","Canada","Canada","night",1995,"January","Wednesday",19,2,2,2,3,3,1,1,"Learjet"
"N754FE","West Air","Destroyed","United States of America","Approach","Cargo","United States of America","United States of America","afternoon",1995,"January","Thursday",4,1,1,1,0,0,1,0,"Cessna"
"RA-87565","CHELAL - Chelyabinskie Avialinii","Substantial","Russia","Landing","Domestic Non Scheduled Passenger","Russia","Russia","morning",1995,"January","Saturday",23,3,0,4,0,1,0,0,"Yakovlev"
"PK-JHF","Sempati Air Transport","Damaged beyond repair","Indonesia","Landing","Domestic Scheduled Passenger","Indonesia","Indonesia","evening",1995,"January","Monday",24,2,0,6,0,51,0,0,"Boeing"
"F-GHLN","Leadair UniJet","Damaged beyond repair","France","Initial climb","Int'l Non Scheduled Passenger","France","Romania","afternoon",1995,"January","Friday",23,2,3,3,7,7,1,1,"Dassault Falcon"
"RA-87464","Volga Airlines","Damaged beyond repair","Russia","Landing","Domestic Scheduled Passenger","Russia","Russia","afternoon",1995,"January","Wednesday",21,3,0,4,0,6,0,0,"Yakovlev"
"N782AL","Air Transport International - ATI","Destroyed","United States of America","Takeoff","Ferry/positioning","United States of America","United States of America","evening",1995,"February","Thursday",27,4,3,3,0,0,1,0,"Douglas"
"N66JE","Professional Jet Management","Substantial","United States of America","Standing","Executive","United States of America","United States of America","morning",1995,"February","Tuesday",14,2,0,2,0,0,0,0,"IAI"
"C-GYQT","Bearskin Airlines","Damaged beyond repair","Canada","Approach","Domestic Scheduled Passenger","Canada","Canada","afternoon",1995,"February","Tuesday",21,2,0,2,0,9,0,0,"Beechcraft"
"C-GLIG","Lignum Ltd.","Damaged beyond repair","Canada","Landing","Executive","Canada","Canada","morning",1995,"March","Wednesday",11,2,0,2,0,2,0,0,"Mitsubishi Mu 300 Diamond 1A"
